UUID	Q#	Trust Index Dimension	Domain applicability	Country applicability	M/O	Group or not group	Question type	Question	Question - Proposed revision	Response indicators	RI - Proposed revision	Score	Points Available	Weighting (low-high)	Reference	Alt Text
QBAEDF	1	N/A	N/A	N/A	M		Tombstone	Title of project		free text		not scored				
QA02D4		N/A	N/A	N/A	M		Tombstone	Project Description		free text		not scored				
Q6C352	2	N/A	N/A	N/A	M		Tombstone	Company or Organization		free text		not scored				
Q0267E	3	N/A	N/A	N/A	M		Tombstone	Industry		CV - Standard Industrial Classification, NAIC, or open source option, include "other"	I realize it might be difficult to implement, but it would be ideal if this had some text search feature. People might know the right words for their industry but that only helps if the first word lines up with the first word in the dropdown.	not scored				
Q381B6	4	N/A	N/A	N/A	M		Tombstone	Country		CV- follow ISO 3166 or open soure option, include "other"		not scored				
Q235F8	5	N/A	N/A	N/A	M		Tombstone	City		free text		not scored				
Q9BAD4 	6	N/A	N/A	N/A	M		Tombstone	Representative	Maybe change this to Point of Contact?	free text		not scored				
Q80D33	7	N/A	N/A	N/A	M		Tombstone	Contact information	Contact information is vague. Would you like an email address? A phone number? I would be more specific about that here.	free text		not scored				
QC2610	8	N/A	N/A	N/A	M		Tombstone	Why are you using AI for this project?	I don't understand the use of Alt Text for this question. It doesn't seem to match the question.	select all that apply:		not scored				Are any features in your model redundant or unnecessary? Use the simplest model that meets your performance goals. - Google Responsible AI Practices
A95B59										Advance operational efficiencies						
AB3515										Improve quality						
A5D57B										Lower transaction costs						
A7CC24										Innovation						
A61317										Augment human processes						
ADD2F9										Improve consistency						
A8117D										other						
QD85E8	9	Bias and Fairness				not group	Risk	Is your user base comprised of individuals or groups from vulnerable populations?					1	high	Reference from AI Principles for Vulnerable Populations in Humanitarian Contexts: There are many recent examples of Artificial Intelligence (AI) systems being used for vulnerable people in humanitarian and disaster response contexts, with serious ethical and security-related implications. In particular, vulnerable populations are put at further risk through biases inherently built into AI systems. There are security concerns regarding their personal information being exposed and even used for persecution purposes. 	Vulnerable Populations: There are several definitions available for the term “vulnerable population”, the words simply imply the disadvantaged sub-segment of the community[1] requiring utmost care, specific ancillary considerations and augmented protections in research. The vulnerable individuals’ freedom and capability to protect one-self from intended or inherent risks is variably abbreviated, from decreased freewill to inability to make informed choices (NCBI)
A00F07										Yes - Most users will be individuals or groups from vulnerable populations		-1				
A96E95										Yes - Some users will be individuals or groups from vulnerable populations		0				
A4952A										No - There are currently no identified vulnerable populations in the user base		1				
Q836F4 	83	Bias and Fairness				not group	Risk	What is the likelihood of an unintended outcome occuring during the operation of your system?					1	medium	Recommended guidance from European Commision Liability for Artificial Intellgence:  Below are listed the most important findings of this report on how liability regimes should be designed – and, where necessary, changed – in order to rise to the challenges emerging digital technologies bring with them.  A person operating a permissible technology that nevertheless carries an increased risk of harm to others, for example AI-driven robots in public spaces, should be subject to strict liability for damage resulting from its operation.  In situations where a service provider ensuring the necessary technical framework has a higher degree of control than the owner or user of an actual product or service equipped with AI, this should be taken into account in determining who primarily operates the technology.  A person using a technology that does not pose an increased risk of harm to others should still be required to abide by duties to properly select, operate, monitor and maintain the technology in use and – failing that – should be liable for breach of such duties if at fault.  A person using a technology which has a certain degree of autonomy should not be less accountable for ensuing harm than if said harm had been caused by a human auxiliary.  Manufacturers of products or digital content incorporating emerging digital technology should be liable for damage caused by defects in their products, even if the defect was caused    Expert Group on Liability for New Technologies by changes made to the product under the producer’s control after it had been placed on the market.  For situations exposing third parties to an increased risk of harm, compulsory liability insurance could give victims better access to compensation and protect potential tortfeasors against the risk of liability.  Where a particular technology increases the difficulties of proving the existence of an element of liability beyond what can be reasonably expected, victims should be entitled to facilitation of proof.  Emerging digital technologies should come with logging features, where appropriate in the circumstances, and failure to log, or to provide reasonable access to logged data, should result in a reversal of the burden of proof in order not be to the detriment of the victim.  The destruction of the victim’s data should be regarded as damage, compensable under specific conditions.  It is not necessary to give devices or autonomous systems a legal personality, as the harm these may cause can and should be attributable to existing persons or bodies.	
A47434										Zero Likelihood - All outcomes of the system are determined in advance, there are no learning components to the system		1				
A81097										Low Likelihood - It is possible that an unexpected event could occur, but the likliehood is low 		0				
A97137										High Likelihood - There are many unknown variables within the system, including how the system learns, as a result, there is a high probability that something unlikely could happen during the operation of the system. 		-1				
QA0F6A		Bias and Fairness				not group	Risk	If an unintended outcome(s) were to occur, who would it impact? 		select all that apply:			1	high	Recommended guidance from European Commision Liability for Artificial Intellgence:  Below are listed the most important findings of this report on how liability regimes should be designed – and, where necessary, changed – in order to rise to the challenges emerging digital technologies bring with them.  A person operating a permissible technology that nevertheless carries an increased risk of harm to others, for example AI-driven robots in public spaces, should be subject to strict liability for damage resulting from its operation.  In situations where a service provider ensuring the necessary technical framework has a higher degree of control than the owner or user of an actual product or service equipped with AI, this should be taken into account in determining who primarily operates the technology.  A person using a technology that does not pose an increased risk of harm to others should still be required to abide by duties to properly select, operate, monitor and maintain the technology in use and – failing that – should be liable for breach of such duties if at fault.  A person using a technology which has a certain degree of autonomy should not be less accountable for ensuing harm than if said harm had been caused by a human auxiliary.  Manufacturers of products or digital content incorporating emerging digital technology should be liable for damage caused by defects in their products, even if the defect was caused  Executive Summary 4 Expert Group on Liability for New Technologies by changes made to the product under the producer’s control after it had been placed on the market.  For situations exposing third parties to an increased risk of harm, compulsory liability insurance could give victims better access to compensation and protect potential tortfeasors against the risk of liability.  Where a particular technology increases the difficulties of proving the existence of an element of liability beyond what can be reasonably expected, victims should be entitled to facilitation of proof.  Emerging digital technologies should come with logging features, where appropriate in the circumstances, and failure to log, or to provide reasonable access to logged data, should result in a reversal of the burden of proof in order not be to the detriment of the victim.  The destruction of the victim’s data should be regarded as damage, compensable under specific conditions.  It is not necessary to give devices or autonomous systems a legal personality, as the harm these may cause can and should be attributable to existing persons or bodies.	
AA35A8										All users equally		-0.5				
AAB8AD										A segment of the population		-1				
A4CF53										Your organization		-0.5				
AD6A9B										A different organization		-0.5				
Q4435F		Bias and Fairness				not group	Risk	What is the potential severity of the effect if one or more of these unintended outcome(s) were to occur?					1	high	Recommended guidance from European Commision Liability for Artificial Intellgence:  Below are listed the most important findings of this report on how liability regimes should be designed – and, where necessary, changed – in order to rise to the challenges emerging digital technologies bring with them.  A person operating a permissible technology that nevertheless carries an increased risk of harm to others, for example AI-driven robots in public spaces, should be subject to strict liability for damage resulting from its operation.  In situations where a service provider ensuring the necessary technical framework has a higher degree of control than the owner or user of an actual product or service equipped with AI, this should be taken into account in determining who primarily operates the technology.  A person using a technology that does not pose an increased risk of harm to others should still be required to abide by duties to properly select, operate, monitor and maintain the technology in use and – failing that – should be liable for breach of such duties if at fault.  A person using a technology which has a certain degree of autonomy should not be less accountable for ensuing harm than if said harm had been caused by a human auxiliary.  Manufacturers of products or digital content incorporating emerging digital technology should be liable for damage caused by defects in their products, even if the defect was caused  Executive Summary 4 Expert Group on Liability for New Technologies by changes made to the product under the producer’s control after it had been placed on the market.  For situations exposing third parties to an increased risk of harm, compulsory liability insurance could give victims better access to compensation and protect potential tortfeasors against the risk of liability.  Where a particular technology increases the difficulties of proving the existence of an element of liability beyond what can be reasonably expected, victims should be entitled to facilitation of proof.  Emerging digital technologies should come with logging features, where appropriate in the circumstances, and failure to log, or to provide reasonable access to logged data, should result in a reversal of the burden of proof in order not be to the detriment of the victim.  The destruction of the victim’s data should be regarded as damage, compensable under specific conditions.  It is not necessary to give devices or autonomous systems a legal personality, as the harm these may cause can and should be attributable to existing persons or bodies.	
A31DFA										High		-1				
A89016										Medium		-0.5				
AED0BB										Low		0				
Q8892C	12	Accountability				not group	Mitigation	Has a risk benefit analysis of all aspects of this system including looking at aspects avoidance, mitigation, transference, and acceptance been completed?	"Has a risk benefit analysis of all aspects of this system been completed including looking at aspects of avoidance, mitigation, transference, and acceptance?"  I see there is a placeholder in the info for definitions of the words above. I was going to suggest definitions be added because this is a pretty heavy question to start out with using terminology that may be unfamiliar to certain groups.   The two "Yes" responses are not mutually exclusive but this is a select-one. I would suggest collapsing the two Yes responses into a single "Yes" response or breaking the two responses out into a series of select-all-that-apply options with the first "Yes" responses options listed out rather than confined to a single answer.				1	medium	Reccommended guidance from Google's Responsible AI Practices:  The use of several metrics rather than a single one will help you to understand tradeoffs between different kinds of errors and experiences.  1) Consider metrics including feedback from user surveys, quantities that track overall system performance and short- and long-term product heath (e.g., click-through rate and customer lifetime value, respectively), and false positive and false negative rates sliced across different subgroups.  2) Ensure that your metrics are appropriate for the context and goals of your system, e.g., a fire alarm system should have high recall, even if that means the occasional false alarm.  There are ISO Standards that can be referenced here, however, we should find best practices that are open.	definitions for  Avoidance:  Mitigation:  Transference:  Acceptance:
A0E748										No		0				
ACE1FC										Yes, we have done analysis including, but not limited to, feedback from user surveys, tracking of system performance, short and long-term product health (eg. click-through rate and customer lifetime values), and false positive and false negative rates sliced across different subgroups.		0.5				
A4DF7E										Yes, we have ensured that the metrics are appropriate for the context (eg. fire alarm systems should have high recall, even if that means the occasional false alarm)		1				
QFB449	11	Accountability				not group	Risk	To what extent is the review of ethics built in to your organization's practice of implementing responsible programs, processes, and technology?					1	low	Capability Maturity Model Intergration: https://cmmiinstitute.com/	
ACFDAF										Initial, there is limited discussion about different trade-offs of the system within our organization.		0				
A99F90										Managed, ethical and responsible processes are planned, documented, performed, monitored, and controlled at the project level. Often reactive.		0.25				
AAEAA9										Defined, processes are well characterized and understood. Processes, standards, procedures, tools, etc are defined at the organizational level. Proactive.		0.5				
A373B0										Quantitatively managed, processes are controlled using statistical and other quantitiative techiques.		0.75				
AEEF81										Optimized, process performance continually improved through incremental and innovative technological improvements.		1				
QBA335	13	Accountability				not group	Mitigation	Is there a level of specialized knowledge required to operate your system? Are users made aware prior to use?					1	medium	Reccommended guidance from IEEE - Ethically Aligned Design:     Competence  1) Creators of A/IS should specify the types and levels of knowledge necessary to understand and operate any given application of A/IS. In specifying the requisite types and levels of expertise, creators should do so for the individual components of A/IS and for the entire systems. 2) Creators of A/IS should integrate safeguards against the incompetent operation of their systems. Safeguards could include issuing 33 The IEEE Global Initiative on Ethics of Autonomous and Intelligent Systems General Principles This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 United States License. notifications/warnings to operators in certain conditions, limiting functionalities for different levels of operators (e.g., novice vs. advanced), system shut-down in potentially risky conditions, etc.  3) Creators of A/IS should provide the parties affected by the output of A/IS with information on the role of the operator, the competencies required, and the implications of operator error. Such documentation should be accessible and understandable to both experts and the general public.  4) Entities that operate A/IS should create documented policies to govern how A/IS should be operated. These policies should include the real-world applications for such A/IS, any preconditions for their effective use, who is qualified to operate them, what training is required for operators, how to measure the performance of the A/IS, and what should be expected from the A/IS. The policies should also include specification of circumstances in which it might be necessary for the operator to override the A/IS.	
AF1882										No, systems is available to all users with all degrees of knowledge		1				
A2C200										Yes, users have been clearly notified in advance that there is a degree of knowledge required to operate the system.		0.5				
A23A35										Yes, any recipient of the outcomes of this system are made aware that a qualified person is operating the system.		0.5			Reccommended guidance from Google's Responsible AI Practices:  Continued monitoring will ensure your model takes real-world performance and user feedback into account. 5) Operators of A/IS should, before operating a system, make sure that they have access to the requisite competencies. The operator need not be an expert in all the pertinent domains but should have access to individuals with the requisite kinds of expertise.  2) Consider both short- and long-term solutions to issues. A simple fix (e.g., blacklisting or whitelisting) may help to solve a problem quickly, but may not be the optimal solution in the long run. Balance short-term simple fixes with longer-term learned solutions.  3) Before updating a deployed model, analyze how the candidate and deployed models differ, and how the update will affect the overall system quality and user experience.	
A92BF7										Yes, users have been notified and the appropriate training has been made available to all users. For internal users, training has been delivered or will be delivered prior to deployment		0.5				
A9C525										Yes, for internal users, training has been delivered or will be delivered prior to deployment		0.5				
AE9C4A										Yes, users won't use the tool if it's too complicated		0				
